Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Current Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,State,Average_Monthly_Charge,Churn,Net_Revenue,Sub_Services,Married_Gender,Persona
Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,No_Offer,No,0.0,No,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,Active,Active,California,45.56574074074074,0,2460.55,4,Single | Male,E - Churn-Risk New Users
Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,No_Offer,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,Active,Active,California,117.45486111111111,0,8456.75,8,Married | Female,A - Premium Loyal Customers
Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,No_Offer,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,Active,Active,California,70.3,0,351.5,1,Married | Female,E - Churn-Risk New Users
Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,Active,Active,California,100.85069444444444,0,7261.25,5,Single | Female,A - Premium Loyal Customers
Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,No_Offer,No,0.0,No,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,Active,Active,California,45.71607142857143,0,2560.1,5,Single | Female,E - Churn-Risk New Users
Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,Active,Active,California,96.47042253521126,0,6849.4,5,Married | Female,A - Premium Loyal Customers
Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,No_Offer,No,0.0,No,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,Active,Active,California,58.62352941176471,0,1993.2,7,Married | Female,E - Churn-Risk New Users
Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,Active,Active,California,72.1,2,72.1,1,Single | Female,E - Churn-Risk New Users
Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,No_Offer,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,California,62.03333333333333,1,2791.5,4,Single | Male,E - Churn-Risk New Users
Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,No_Offer,No,0.0,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,California,25.1,1,25.1,1,Single | Male,E - Churn-Risk New Users
Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,No_Offer,Yes,31.43,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,Active,Active,California,26.126,0,1306.3,0,Married | Female,D - Legacy Phone-Only Users
Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,No_Offer,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,California,93.5076923076923,1,1215.6,4,Married | Female,E - Churn-Risk New Users
Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,Active,Active,California,80.43260869565218,0,1849.95,2,Married | Female,E - Churn-Risk New Users
Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,No_Offer,Yes,3.12,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,Active,Active,California,19.066666666666663,2,57.2,0,Single | Female,D - Legacy Phone-Only Users
Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,California,19.0875,1,76.35,0,Married | Female,D - Legacy Phone-Only Users
Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,No_Offer,No,0.0,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,California,30.5,1,30.5,2,Married | Female,E - Churn-Risk New Users
Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,No_Offer,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,Active,Active,California,102.85,0,5656.75,6,Married | Female,A - Premium Loyal Customers
Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,No_Offer,Yes,19.7,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,Active,Active,California,20.196296296296296,0,1090.6,0,Married | Male,D - Legacy Phone-Only Users
Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,Active,Active,California,18.148076923076925,0,450.6,0,Single | Male,D - Legacy Phone-Only Users
Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,No_Offer,Yes,38.39,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,Active,Active,California,20.244927536231884,0,1396.9,0,Married | Female,D - Legacy Phone-Only Users
Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,Active,Active,California,87.77162162162162,0,3247.55,4,Married | Male,A - Premium Loyal Customers
Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,Active,Active,California,18.38571428571429,0,900.9,0,Married | Female,D - Legacy Phone-Only Users
Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,No_Offer,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0,2888.82,10830.97,Stayed,Active,Active,California,120.33560606060604,0,7942.15,8,Married | Male,A - Premium Loyal Customers
Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,No_Offer,Yes,23.12,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,Active,Active,California,20.05074626865672,0,1312.87,0,Single | Female,B - Balanced Bundle Seekers
Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,No_Offer,No,0.0,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,Active,Active,California,41.27,0,825.4,4,Married | Male,E - Churn-Risk New Users
Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,No_Offer,Yes,30.64,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,Active,Active,California,24.887209302325584,0,1070.15,0,Single | Female,D - Legacy Phone-Only Users
Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,Active,Active,California,90.17454545454548,0,4959.6,3,Married | Female,A - Premium Loyal Customers
Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,Active,Active,California,94.87542372881356,0,5597.65,4,Married | Female,A - Premium Loyal Customers
Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,No_Offer,Yes,19.28,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,Active,Active,California,18.70833333333333,0,224.5,0,Married | Female,D - Legacy Phone-Only Users
Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,Active,Active,California,71.44444444444444,0,1929.0,1,Married | Male,E - Churn-Risk New Users
Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,No_Offer,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,California,45.55,1,91.1,2,Single | Male,E - Churn-Risk New Users
Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,Active,Active,California,76.99814814814815,0,2078.95,7,Single | Female,E - Churn-Risk New Users
Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,No_Offer,Yes,23.69,Yes,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,Active,Active,California,25.224,0,586.1800000000001,0,Married | Male,B - Balanced Bundle Seekers
Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,No_Offer,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,Active,Active,California,64.44,0,1566.1,4,Married | Male,B - Balanced Bundle Seekers
Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,No_Offer,No,0.0,No,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,Active,Active,California,42.84310344827586,0,1230.19,5,Single | Male,E - Churn-Risk New Users
Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,No_Offer,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,Active,Active,California,87.725,0,6316.2,7,Married | Male,A - Premium Loyal Customers
Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,No_Offer,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,Stayed,Active,Active,California,51.989285714285714,0,727.85,2,Single | Female,E - Churn-Risk New Users
Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,Stayed,Active,Active,Florida,100.91428571428573,0,3532.0,6,Single | Female,A - Premium Loyal Customers
Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,Active,Active,California,44.3,2,44.3,1,Single | Male,E - Churn-Risk New Users
Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,No_Offer,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,Stayed,Active,Active,New Mexico,89.91724137931034,0,2607.6,4,Single | Male,E - Churn-Risk New Users
Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,No_Offer,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,Stayed,Active,Active,California,86.99296875,0,5567.55,5,Single | Male,A - Premium Loyal Customers
Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,No_Offer,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,Stayed,Active,Active,California,96.6,0,3767.4,5,Married | Female,A - Premium Loyal Customers
Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,No_Offer,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,Stayed,Active,Active,California,91.84,0,3673.6,3,Single | Female,A - Premium Loyal Customers
Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,No_Offer,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,California,100.92125,1,4036.85,6,Single | Male,A - Premium Loyal Customers
Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,California,101.84545454545454,1,1120.3,3,Single | Female,C - Data-Capped Digitals
Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,Stayed,Active,Active,Florida,52.425,0,314.55,1,Married | Female,E - Churn-Risk New Users
Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,No_Offer,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,Stayed,Active,Active,California,62.94833333333334,0,1888.45,4,Single | Male,E - Churn-Risk New Users
Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,No_Offer,Yes,20.66,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,Stayed,Active,Active,California,19.62222222222222,0,529.8,0,Single | Male,D - Legacy Phone-Only Users
Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,No_Offer,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,Active,Active,North Carolina,104.41357142857144,0,7302.84,5,Married | Male,A - Premium Loyal Customers
Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,Stayed,Active,Active,California,109.69649122807016,0,6252.7,7,Married | Female,A - Premium Loyal Customers
Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,No_Offer,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,Active,Active,California,49.63017241379311,0,2868.32,2,Married | Male,A - Premium Loyal Customers
Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,No_Offer,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,Stayed,Active,Active,California,75.75625,0,1212.1,5,Single | Male,E - Churn-Risk New Users
Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,Stayed,Active,Active,Ohio,118.59202898550726,0,8182.85,8,Married | Female,A - Premium Loyal Customers
Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,Utah,19.85,1,19.85,0,Single | Male,D - Legacy Phone-Only Users
Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,No_Offer,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,California,99.75,1,99.75,5,Single | Male,E - Churn-Risk New Users
Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,Stayed,Active,Active,California,89.4203125,0,2861.45,5,Married | Male,A - Premium Loyal Customers
Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,Stayed,Active,Active,California,90.1375,0,1442.2,3,Married | Male,E - Churn-Risk New Users
Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,California,82.84387755102041,1,4059.35,7,Married | Male,A - Premium Loyal Customers
Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,0.0,No,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,Stayed,Active,Active,California,58.39295774647887,0,4145.9,7,Married | Female,A - Premium Loyal Customers
Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,No_Offer,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,Stayed,Active,Active,California,110.46969696969695,0,3645.5,6,Single | Female,A - Premium Loyal Customers
Female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,Yes,49.6,No,No,no_internet_service,0.0,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,Stayed,Active,Active,California,18.775,0,187.75,0,Married | Female,D - Legacy Phone-Only Users
